,Probability
0,0.608934686847917
1,0.2991460934759339
2,0.3049082755377812
3,0.7364185161654548
4,0.46430626985912515
5,0.6637881654008317
6,0.5538826796439161
7,0.3478585019830195
8,0.3135425228088787
9,0.7396029349307777
10,0.3929017646179001
11,0.1487179056794396
12,0.7009115845226421
13,0.2653945524027792
14,0.254993220624628
15,0.6646452240625438
16,0.4619143512890293
17,0.6005853691953025
18,0.5207192095664371
19,0.6803972170322762
20,0.5969268397533348
21,0.4639163821325855
22,0.5272017763108389
23,0.4021151162851027
24,0.2739782672263404
25,0.15840121893449996
26,0.3256404424884902
27,0.5863107320047232
28,0.49297873421194877
29,0.8112590125707345
30,0.6491597594058824
31,0.47354851566340395
32,0.7992970518157877
33,0.44395133647848484
34,0.35543147956185134
35,0.3390213043168499
36,0.44557509086817465
37,0.3813712872404916
38,0.3586915846628057
39,0.713830909036314
40,0.3497362508575057
41,0.2853767654878198
42,0.3430215714175366
43,0.45533286407493234
44,0.28604113181157853
45,0.8085577487333342
46,0.5974863491394867
47,0.7230851164939114
48,0.40795770250166846
49,0.6949744903930342
50,0.745520012390081
51,0.7601536660833048
52,0.3307296667020642
53,0.463876478158064
54,0.6593418571850945
55,0.7304513070579044
56,0.7685315070629929
57,0.4531111345970472
58,0.7847092488324656
59,0.6030967236787997
60,0.761167565785483
61,0.6428977454001812
62,0.5286038211844668
63,0.47324710757711025
64,0.4033427492045808
65,0.5917955231439256
66,0.562186818550089
67,0.7367994933036485
68,0.48268002688862727
69,0.7015285605173122
70,0.6061648413926425
71,0.7072698759879573
72,0.5286094019569635
73,0.7078656259118922
74,0.5921431837429514
75,0.31040190491409425
76,0.6478123679953032
77,0.7404109791075715
78,0.36387909883384434
79,0.5624628125075491
80,0.3934423379123193
81,0.3851098664570673
82,0.3980411420149426
83,0.5604340866507483
84,0.2989996926921802
85,0.5182498772659557
86,0.25507562663100963
87,0.49345410589548794
88,0.48963870069997834
89,0.6723677355321334
90,0.6624411689078356
91,0.5500561253377381
92,0.39007378870970416
93,0.6812520411759504
94,0.3057187304111828
95,0.40914144170624706
96,0.22719190121687188
97,0.45716262548435765
98,0.3443431231024174
99,0.40665063195649276
100,0.30849633006471155
101,0.4755493977301086
102,0.8045065565428793
103,0.3494976164399592
104,0.6277888311458789
105,0.8791165214047134
106,0.7445149877085409
107,0.23223997516340886
108,0.4810620610501106
109,0.5291228638741996
110,0.5536608237998332
111,0.6636982770596619
112,0.8052862400356754
113,0.47582144503093377
114,0.6151724169757378
115,0.5552315901800234
116,0.46608933057371965
117,0.28023411688115574
118,0.4614696285010226
119,0.5779973210591349
120,0.5249604522344907
121,0.2946757940284181
122,0.555099058280126
123,0.36384743661631636
124,0.4791875381592628
125,0.4564160159858906
126,0.5145695124798416
127,0.543009173005581
128,0.20262355431560955
129,0.5290172040267024
130,0.6540403081795395
131,0.5242253523707148
132,0.40751815343292797
133,0.8176876710395068
134,0.568954014497898
135,0.7148160830933872
136,0.5114168550187441
137,0.6878047623797917
138,0.42929674475180435
139,0.8794769874714704
140,0.8594907465511652
141,0.7172930817602379
142,0.8600076511059067
143,0.6585666225846944
144,0.6491236395194591
145,0.7193045164481727
146,0.7877957896335298
147,0.3899374347883853
148,0.40685436984387796
149,0.7636513248712873
